;text;id;coder;code
1193370;Während der Bus auf den Abgrund zurast, kümmert man sich in der Politik erstmal um die Verteilung der Sitzplätze. Wer darf am Fenster sitzen, weil er letztes Jahr so brav in der Parteistruktur mitgewirkt hat, wen darf man nicht nebeneinandersetzen, weil es Ärger gibt? ? #covid19;3834;1;
694044;@Jean_I_Billroth Nicht wenn der Schleier fällt, dass nicht Masken oder Migration Grund zur Aufregung sind, sondern zunehmende soziale Ungerechtigkeit - da meine ich nicht nur den steigenden Anteil der Menschen in Grundsicherung.;644;1;
433493;"@MikeNel35570651 @BernieMayr @HGMaassen ""Immigranten die nur aus monetären Gründen nach Deutschland kommen wollen.""

Mit Betohnung auf  ""nur aus Monetären Gründen"".";234;1;
1090109;"@DoroBaer @CDU @CSU @TU_Muenchen @uni_kl @csu_bt @cducsubt ""Parteien (greifen) das Thema Digitalisierung dann stärker in ihren Parteiprogrammen auf (...), wenn der Wettbewerbsdruck (Piratenpartei) sie dazu treibt, oder wenn es für sie politisch-strategisch opportun erscheint."", so das Ergebnis dieser Studie in 2019. Gilt heute noch.";2901;1;
230497;"Das ist die Realität ???
Jahrelang wurde die #Pflege im Stich gelassen jetzt kommt nach dem #Pflegenotstand der #Pflegekollaps https://t.co/6bh8Pb1iPE";4044;1;
546410;Es wird eine offenere, aber auch wirtschaftlich erfolgreichere Gesellschaft, wenn wir jetzt endlich ein Einwanderungsgesetz mit Punktesystem haben, so @MarcoBuschmann auf dem #BPT21. #FangenWirAn;435;1;
1017021;"@ByduoL @neythomas Pöbelst Du nur rum, oder hast Du auch was Substantielles zu sagen?

Mit ""Einwanderung seit 2015"" meinst Du vermutlich ""Flucht"". Das hat mit meinen Ausführungen nix zu tun.

Ich habe den Paywall-Artikel nicht gelesen, dafür das betreffende Wahlprogramm https://t.co/LLo1SIeHV8 /2";998;1;
1140080;RT @Hartes_Geld: Die 'hungernden Flüchtlingskinder' (© @Tagesschau) an der polnischen Grenze scheinen langsam die Geduld zu verlieren und w.;1214;1;
755064;Seit 7 Jahren in Deutschland, Sprachkurse besucht, soziales Engagement, Sohn Schulsprecher, Vater arbeitet in Vollzeit - Nun sitzt die Familie aus Pakistan im Abschiebeknast. Die deutsche Asyl-Politik ist ein menschenverachtender Hohn. https://t.co/rJ5xeah4iL #StopDeportations;686;1;
1515550;"Und die geflüchteten Menschen auf den Inseln sitzen in ihren überhitzten Zelten fest. 
Unmenschlich. https://t.co/8voRnjnWFD";1661;1;
1855621;"Findings from the latest #IPCC #ClimateReport show that every region is facing increasing changes, &amp; the changes experienced will depend on the level of warming. 

Check out the interactive atlas to see possible climate futures for your region. 

? https://t.co/1Hk4TDjhMZ https://t.co/F2mAbOHZEy";2660;2;-
1792181;Wenn du so voller Ressentiment bist, dass du nichtmal Einwanderung im Sinne des Kapitalismus unterstützt ? https://t.co/ptS6mYBACq;1983;2;Wirtschaft
497769;"Der ?? Kanzler @sebastiankurz spricht sich nach dem brutalen Mord zweier afghanischer Asyl-#Migranten an einem Mädchen (13) in #Wien für die konsequente Abschiebung krimineller Asylbewerber &amp; geg. eine unbeschränkte Aufnahme aus. Alexander #Gauland: https://t.co/BlmhIFfKq6 #AfD";341;2;Asylpolitik
1382111;Heute ist #Weltflüchtlingstag. Dieser Tag erinnert daran, dass es darum geht, jedem Mensch auf der Flucht ein Leben in Würde zu ermöglichen. Ob uns das gelingt, zeigt sich auch daran, wie wir Menschen, die bei uns ankommen, aufnehmen. https://t.co/rXLj4SLaVF;1510;2;Pos. Mod.
917473;"Die Regierung will Elektroautos und Windräder. Wir brauchenDämme und Frühwarnsysteme.
QUELLEN:  NZZ  https://t.co/oTC0PUxrwD   // Harald Lesch (youtube 2019)  https://t.co/fRmLKMBSwA  //  STATISTA https://t.co/rRDCMiCFnk https://t.co/wJvDi1ExGP";4339;2;-
1116533;Und wer immer noch behauptet, Geflüchtete aus Syrien, dem Irak, Afghanistan etc würden wegen miserabler Hartz-IV-Sätze ihr Leben riskieren, lebt in einer abstrusen Parallelwelt. https://t.co/CL7bfnIwsU;1149;2;Asylpolitik
332236;Fed chief Powell reassures he's got an eye on inflation https://t.co/YE7BYoKxuq;3315;2;-
629753;"Habe mir @WDRaktuell vom 17.07. angesehen, ein insges. gutes &amp; kritisches Nachrichtenformat, wie mir immer wieder auffällt. Hier gibt es einen besonders wichtigen Kritikpunkt, der bei #Laschetlacht in #SocialMedia übergangen wird: Die Bürger der Ansprache(n) wurden weggeschickt. https://t.co/RhEtvrI6gh";2290;2;-
1483127;"""Lachender Dritter des Streits ist die AfD. Der Bundestagsabgeordnete Götz Frömming bedankte sich auf Twitter bei Edeka »für diese geile Werbung!«. Die Hauptsache sei, dass nun alle über die AfD sprechen."" 

#Edeka verbannt Flaschen mit AfD-Wahlprogramm https://t.co/OaEksUOzcQ";3365;2;-
914522;"@StefanThumann @badidol @AlDavoodi Nicht ganz so, bei uns läuft das traditionell seit 2006 online. ;)";4472;2;-
1845285;@_Seebruecke_ @ErikMarquardt @seawatchcrew Ihr suggeriert, die Grünen seien gegen die Aufnahme von Geflüchteten aus Moria, wenn ihr nur die Abstimmung zu einem Antrag der Linken verbreitet, nicht aber den Grünen Antrag selber. Bei sowas lachen sich die ins Fäustchen, die beides nicht wollen.;2022;2;Asylpolitik 
1605329;Die #Jugendarbeitslosigkeit in der #EU nimmt zum Teil dramatische Ausmaße an. Trotzdem wird uns nach wie vor erzählt, wir bräuchten mehr #Migration, um den Bedarf an Arbeitskräften zu decken. Was wir stattdessen brauchen, ist die Förderung unserer Jugend! https://t.co/82AovuqVsC;1783;2;Neg. Mod.
1864307;Nach Kabul zurück können sie nicht. Dennoch gilt die Bleibeperspektive von afghanischen Flüchtlingen offiziell noch als schlecht. Von Sprachkursen bleiben sie ausgeschlossen. Arbeitsminister Heil will das ändern. https://t.co/XgmJU0peYS;2041;2;Asylpolitik
1332170;RT @Jukischx64: Es gibt Axolotlbebis??????;2823;2;-
1223415;"Dozens of NGOs have raised alarm this month for an approaching hunger crisis un &amp; around #Athens and #Thessaloniki, 1000s of men, women &amp; children, seeking asylum find themselves in.

This is why: https://t.co/h2agYMVbH5";1389;2;-
869511;"@Afelia Man kann doch Führung sagen? Wie in Museums-/Unternehmensführung?

Ansonsten gingen auch Entscheider:innen? Verantwortliche? Leitende? Unternehmer:innen? 
Das Management. Vorstände &amp; Geschäftsführung (ha!)
;-)";3939;2;-
1712293;"Klasse! @dieLinke #machtdaslandgerecht 
#219a https://t.co/thpKt3VgOf";4234;2;-
1670482;Das Sondierungspapier der Ampel lässt riesige finanzpolitische Leerstellen! Einerseits sind die Finanzierungswege, die jenseits der Schuldenbremse notwendig sind, total unklar und andererseits ist nicht ersichtlich für wen die Steuern gesenkt werden.;2508;2;-
848705;"Care-Ökonomie &amp; #Klimaschutz verlangen Solidarität, also: verkürzte Arbeitszeiten, Strukturen zur Unterstützung, mehr Beteiligung und eine Stärkung der Gemeinschaft.

https://t.co/ZjVxxsMms1

#care #klimakrise #klimakriseistjetzt #gerechtigkeit #commons #klimalistebw @klimaliste";2648;2;-
1469223;Shit muss jetzt als Kandidat zurücktreten glaube ich. https://t.co/vd16EmCKVg;2729;2;-
292661;"Digitale Landesdelegiertenkonferenz live aus Emden?
https://t.co/Ow4X665Mqe Wie soll die Zukunft in Niedersachsen aussehen? Wie kommen wir raus aus der Krise? Wir haben einen Plan! #VeränderungBeginntHier https://t.co/W253vP1vNa";2754;2;-
301038;1.000 #Migranten kommen täglich nach #Deutschland. Ungeschützten Grenzen und Geldleistungen stellen den Anreiz dar. Leeres Geschwätz und die Verdrehung des Verursacherprinzips bringen uns nicht weiter. Wir brauchen endlich eine rigorose Wende in der #Asylpolitik! #AfD #Migration https://t.co/MYxotsM1Kp;99;2;Asylpolitik, Neg. Mod.
1090162;@roeder_ron @h_odiug @DrAndreasS @rarocknroll @VoltDeutschland @Piratenpartei @DieHumanisten Der Gedankengang ist bekannt und ist der Grund für meinen Thread hier. Wir (Humanisten/Volt/Piraten) möchten selbst gewählt werden und uns nicht den Grünen unterwerfen und unsere Stimmen den Grünen schenken. Das ist der uns vorgeworfene Egoismus.;4444;2;-
1183732;"Für die Grünen können nicht genug #Asylbewerber nach Deutschland kommen. #Baerbock will nun 50.000 #Afghanen nach Deutschland holen. Sie soll sich mit gutem Beispiel vorangehen und Menschen bei sich zu Hause aufnehmen. #DeutschlandAberNormal

https://t.co/h911q4Lnfi";1323;2;Neg.Mod.
1537532;@DavidDraco @lloPsuiraM Uh, du auch?;3412;2;-
1339667;@peteraltmaier Ist das ein Satire-Account?;2560;2;-
1249521;RT @ardenthistorian: Unfassbar zynisch: im Juni hat der Malteserorden Laschet einen Orden verliehen. Für seine Flüchtlings- und Migrationsp.;1405;2;Asylpolitik
1593883;Wohl bekomm's!;4279;2;-
507108;"Ich staune auch über Deutschland. Und noch mehr über die fehlende Koordinierung der Flüchtlingspolitik zwischen Deutschland und Frankreich. 

https://t.co/byqw7qJm4U";383;2;Asylpolitik, Neg. Mod.
1753604;@fneuhann @ZDFheute @RadtkeMdEP Eine Partei auf Laschet als Alleinstellungsmerkmal begründen. Mehr Todessehnsucht kann man ja gar nicht zum Ausdruck bringen.;3819;2;-
307930;Illegal und menschenverachtend: #Frontex hat in einem Jahr mehr als 130 Boote mit Geflüchteten wieder zurückgestoßen. #Nopushbacks #WegmitFrontex https://t.co/9CPs5PgMYH;108;3;
1411165;"Seit über einem Jahr begleiten wir die beiden syrischen Jungen Gafur* &amp; Fayek* (heute 13 &amp; 14), die ohne Verwandte auf Lesbos ankamen. Beide sind endlich bei Familienangehörigen - Gafur in den Niederlanden und Fayek ist gestern in Deutschland gelandet! ?

https://t.co/IQyC6EPeSC https://t.co/QHRZKA7tDU";1554;3;
1540709;@Nordseemigrant Bin froh, dass Likes keine Politik machen.;1688;3;
1138945;"Exklusiv: Unsere gemeinsamen Recherchen enthüllen, dass Spezialeinheiten in Kroatien und Griechenland auf Flüchtlinge einprügeln, sie auf dem Meer aussetzen. Nur, damit weniger Menschen einen Asylantrag stellen. Ein schrecklich brutales System @derspiegel 
https://t.co/mFWWLSqheh";1210;3;
568823;"RT @argonne: Happy Birthday to Enrico Fermi, born on this date in 1901. ? ? ? 

An Italian immigrant and physicist, Fermi (Argonne's foundi.";485;3;
1189021;"Wenn ich als Unternehmer einem iranischstämmigen Migranten anstelle &amp; ihm somit eine Chance gebe, dieser aber zeitgleich antisemitische Parolen an meine Kundschaft richtet &amp; das linksirritierte Pack dann über meine Firma herfällt, werde ich niemals Migranten anstellen.
#Westin";1335;3;
1859607;@LillyBlaudszun Danke.;4302;3;
1011020;Als ich noch nicht kandidiert habe, habe ich an verschiedenen Orten mit Freunden mal getestet, ob Parteien einen ansprechen. Das faszinierende als junge Migranten wurden wir kein einziges Mal angesprochen an Ständen von CDU und Afd.;980;3;
221514;"Man darf und man soll über Migrationspolitik streiten und wie man sie organisiert. Der CDU Bundestagsabgeordnete Hans Jürgen Irmer vergleicht aber Flüchtlinge mit Vieh und nennt Homosexuelle ""nicht normal"" Dieser Mann spuckt auf unser Grundgesetz. Er ist ein Verfassungsfeind";9;3;
433661;https://t.co/RiVowszIc4;3186;3;
1693722;Ich danke fürs Organisieren! https://t.co/GF3lhXN1zC;4182;3;
559201;"? LIVE Tuesday at 9:40CEST with @VDombrovskis @berndlange &amp; @tonylgardner

@POLITICOEurope https://t.co/aTHST6s1j1";3065;3;
1321061;"Sie kamen nicht übers #Mittelmeer, illegal u lebensgefährlich in d #EU, um u #Asyl zu bitten.
Sondern m Mentorenprogramm #NesT.
Nach 11 Jahren Lager #Kakuma fangen sie ein neues Leben im #Paderborn an.
Mit Hilfe e Fußballvereins.Ihr erstes Gruppenbild,1 Std nach Ankunft.@UNHCR_de https://t.co/ljxsEHwHL5";1466;3;
1730014;Guten Morgen ? https://t.co/qvW7Di9mxP;3130;3;
996186;@Luisamneubauer hat es auf den Punkt gebracht. Im Ernst, #laschetlasset . https://t.co/cp8AEly7Yi;2380;3;
1710072;"Gute Nachrichten: das @AuswaertigesAmt hat mir endlich zugesichert, dass die Mutter mitgenommen wird. 

Aber noch sind sie nicht in Sicherheit. 
Mutter und die 2 Kinder sitzen vor dem geschlossenen Eingang am Flughafen &amp; hoffen dass der Eingang rechtzeitig aufmacht #Afghanistan. https://t.co/lMDhW1Gse4";1908;3;
1438906;Es macht ein unterschied wer regiert. Unser Oberbürgermeister @BelitOnay macht es vor. #Bleiberecht statt Abschiebungen. @FlueRat_Nds https://t.co/Nj3c6vrye6;1575;3;
530328;Im Durchschnitt verbrennen in Griechenland jährlich 1.700 Hektar. In den letzten 10 Tagen waren es 56.000 Hektar https://t.co/KHsDAMPShM https://t.co/zGA3xrr3U9;3933;3;
362200;Biden's immigration agenda has faced one setback after another from court challenges led by Republican states. It's no accident that all those rulings were issued by judges appointed by Trump https://t.co/tCyq5xIkAK;143;3;
1681999;"#Bosbach deutet die schweizerische so genannte Volksinitiative gegen Masseneinwanderung als Argument für strengere Regeln gegen sozioökonomisch motivierte #Migration nach Deutschland.
https://t.co/11TjfoTHa0";1864;3;
1064066;"Wissensschaft: Vorsicht!
Politik: Egal!
Wissenschaft: ANHALTEN!!!!!
Politik: Wir machen erstmal weiter und sehen, wie es läuft.
*Aufschlaggeräusch*
Politik: Keiner hat das ahnen können!
Wissenschaft: Vorsicht!
Politik: Egal!
Wissenschaft: ANHALTEN!!!!!
Politik: Wir machen erst... https://t.co/qPUKjloAAE";4455;3;
1512564;"@Lawnanas @hansulrich @iberratio Ja, langjährige Arbeit bei einer Beratungsstelle für Migranten prägt. Nein, ich schaue trotzdem nicht von oben auf die Leute runter.  Und nein, ""Die sollen erstmal Deutsch lernen"" ist keine adäquate Herangehensweise in der Ausländerbehörde.";1659;3;
1606432;"Bemerkenswert nüchterner und realistischer Blick eines jungen Mannes türkischer Abstammung auf die tatsächliche Migrationsgeschichte der Türken in Deutschland und die von bestimmten politischen Kreisen und Interessengruppen versuchte Legendenbildung.
 https://t.co/Wdm2MSYUSF";1788;3;
673152;Die Freien Demokraten kommen aus der Mitte der Gesellschaft - deshalb gehören wir in die Mitte des Parlaments.? https://t.co/Zh2atB4xAE;2465;3;
1230307;RT @SerpilMidyatli: Ich gehe in diese Landtagswahl, um sie zu gewinnen. Wir werden ein starkes Programm haben, mit Ideen für die Zukunft de.;4144;3;
1012517;Mittwoch ertranken 31 Flüchtlinge im Ärmelkanal, ihr Tod hätte verhindert werden müssen, aber die französische und britische Polizei weigerten sich zu retten und sagten die Menschen seien im Gewässer des anderen Lands. Statt rauszufahren und zu retten,schob man Verantwortung fort;990;3;
1784118;"Und im #WK56 natürlich Erststimme @KowolMaximilian, Zweitstimme grün.

Danke Maxi, dass du bei deinem riesigen Wahlkreis so durchgepowert hast ??";3134;3;
550100;Vier iranische Flüchtlinge, die in Denizli/Türkei gegen den Austritt aus der Istanbul-Konvention demonstriert haben, sollen nun abgeschoben werden und wurden in ein Abschiebezentrum gebracht. Grund: Sie hätten sich an einer nicht genehmigten Demonstration beteiligt.;438;3;
962195;Bei Faschisten gibt es keinen gemäßigten Flügel. #justsaying;3949;3;
616070;"Alice Weidel: ""Ihre Zahlen sind falsch!""

Interviewer: ""Woher haben sie denn ihre Zahlen?""

Alice Weidel: ""Ich habe meine Zahlen von destatis.""

Destatis so: https://t.co/U6wJDcdZDi";3643;3;
916378;Die #Schlepperei mit #Migranten geht weiter - #OceanViking auf der Suche nach einem Hafen für fast 600 #Refugees (= regelmäßig Illegal #Asyl|suchende). Schleppergeschäft trockenlegen! / Q: https://t.co/WFHey41f7K https://t.co/JgjosBAIlL;892;4;
553631;schon drin. Abgesehen davon, was ist schon eine Distanzierung? Nicht mehr als ein Versprechen, dem man glauben oder es angesichts der politischen Praxis auch lassen kann. Sobald ein Abschiebeflug in ein Kriegsland die Starterlaubnis bekommt, die Flüchtlinge vor Europas Tür;445;4;
660888;Viele gute Gründe auch aus dem Ausland zu wählen und @Die_Gruenen zu wählen. Danke für die tolle Aktion @GrueneDC https://t.co/JgieCOby6V;3243;4;
1328191;40.000 Umsiedlungen nach Deutschland pro Jahr fordert die 'Fachkommission Fluchtursachen' im aktuellen Bericht. In vielen Forderungen übertrifft der Bericht in seinen Überfremdungsphantasien sogar das Wahlprogramm der Grünen. Zur ganzen Analyse: https://t.co/JeNkt4D8Fe https://t.co/V9OmbpNedr;1470;4;
1749854;"Die Migration im Griff heißt konkret, dass Menschen im Mittelmeer ertrunken, in griechischen Lagern gestorben sind od. dass es illegale push-backs gab. Das hat das Innenministerium, die EU &amp; Frontex zugelassen, gefördert und geschafft. Und ihr wagt es von ""humanitär"" zu sprechen. https://t.co/e02jBYYKji";1956;4;
666712;"In der SPD ist der Anteil von Abgeordneten mit Einwanderungsgeschichte von 9,8 auf 17 % gestiegen. 

Grüne: von 14,9 auf 13.6 % gesunken. 

FDP: von 6,3 auf 5,4 % gesunken. 

Union: von 2,9 auf 4,6 % gestiegen. 

#btw21 https://t.co/fZI5eItsC6";626;4;
1762044;@DrMarcOellrich @fdpbt Dann beschreiben wir es so: Das Ziel wurde von uns vorgegeben und die technisch korrekte Umsetzung dem Markt überlassen. ?;3201;4;
1490233;"RT @FerdinandFerl: Ich weiß nicht was ich schlimmer finde.

A) Das ein Politiker mit Korruption, Freunderlwirtschaft und der Migrationsschi.";1640;4;
939379;"""Glücklicherweise diskutieren wir heute nicht mehr, ob ?? ein #Einwanderungsland ist, sondern wie wir die Herausforderungen gemeinsam meistern. Und wie Chancen, die Migration mit sich bringt, für ein gutes Zusammenleben genutzt werden können"" @AkbulutGokay https://t.co/4Qz3ubWBNU";911;4;
1138984;Another migrant was found dead on the Belarusian border, 500 metres from Lithuania. It's a 29-year-old Sri Lankan Righovan Kirushanthan. His death brings the total toll of people who died in the result of Lukashenko's weaponization of migration to 8. https://t.co/YlXpn6ctVZ;1211;4;
785458;@Ragnaroek_spl Respekt.;3839;4;
1167616;"Rund 100 #Migranten rotten sich in #Essen zusammen. Mit solchen Tumulten dürften wir künftig auch in anderen Städten rechnen. 
Andere bezeichnen so etwas als ""gelungene Integration"" und loben sich weitere, solch klugen Köpfe in unser Land.
#Nomigration 
https://t.co/uVvWx684lG";1297;4;
612416;@BeeSabineBerlin Gratuliere! ?;4340;4;
1510675;A continuación la declaración de prensa publicada en Colombia https://t.co/T4N8Q7R02e;3045;4;
442449;"'""In den Sechzigerjahren hatte ein Prozent der Neugeborenen einen muslimischen Vornamen. Heute sind es 22 Prozent"", sagt Zemmour.' Wichtig, um über Demografie, Migration und Heimat nachzudenken. Nur die Islamo-Linke freut sich bedingungslos. https://t.co/eo8UmPyVrU #fplus";252;4;
1598293;"@RobertMertens16 @julien_classic @Max_Greenworld Und dennoch ist sie regelrecht zu einem deutschen Kulturgut geworden. und das trotz ""Migrationshintergrund"" ?";1773;4;
744222;RT @FW_aktuell: Freie Wähler stellen Kandidaten - Thomas Schinner aus Hof geht bei der Bundestagswahl ins Rennen. Er tritt im Wahlkreis in.;4202;4;
1498753;"RT @watch_union: Die #CSU / Markus #Söder und der Asyltourismus. 
https://t.co/ihDuRIFmBB";1643;4;
1285783;@IlseAigner Wer ist so dumm eine Partei zu wählen, die uns den #Euro eingebrockt, die Flüchtlingskrise beschert Strom verteuert und im #Corona Krisenmanagement total versagt? Wir wollen seriöse Pilitik #LKR_Partei_Bund https://t.co/T0CxbWk44F;1428;4;
645292;"Heute ist internationaler #RomaTag. Hier ein paar historische und aktuelle Fakten, um der nächsten ""ich nenn mein Schnitzel wie ich will""-Diskussion etwas entgegensetzen zu können. (1/8)";615;4;
631397;Es gibt hier durchaus eine Menge progressiver Projekte. Das will ich nicht kleinreden und es verdient jeden Respekt der Welt, sich hier gegen Rechts einzusetzen. Im Internationalen Garten ist damals zB Öl ausgekippt worden, eine geplante Asylunterkunft wurde angezündet. 9/X;595;4;
871700;"Every day rights of migrant workers are violated - even in Germany. Our counsellor Mirela Caravan in Romania speaks about a person who came to work in German #Agriculture We need more awareness and more controls of labour rights! 
@IGBAU @EU_ELA @etuc_ces @EFFAT_org @EU_Social https://t.co/vapohEKC6h";861;4;
1679269;"Schande der EU: #Corona wütet in #Griechenland/#Moria #KaraTepe Die Lage ist besorgniserregend. Die Geflüchteten müssen sofort aus dem Lager evakuiert werden. Sie haben ein Recht auf Asyl &amp; sind keine Kriminellen. Diese Situation ist untragbar! @nothilfe  https://t.co/fPpKx9PYMH";1856;4;
482584;@mpj42 @MarcoWuensch @ProfEnergyHuber Das geht je nach Standort schon - ich bin da offen - BMU bspw kritisch - aus meiner Sicht zu kritisch..;4163;4;
1533622;"@nouripour @SevimDagdelen Keine Ablenkungsmanöver! @Nouripour wörtlich bei dpa: ""Die paar Leute, die jetzt in der Kälte stehen, die sind nicht das Problem. Das Problem ist der Erpressungsversuch."" Schändlich! Wo bleibt die Forderung, Flüchtlinge aufzunehmen?? Hilfe fordern im Grenzgebiet kann jeder..";1684;4;
697892;@amelie_tdnalok @PitPudel @antifa_nurse Doch, Sie. Also reagieren Sie mal sozial kompatibel und nehmen mich aus Ihren Antworten;4151;4;
1599121;Neues Interview in unserer #Portraitreihe mit jungen Politiker*innen of Color: Die Parteien müssen endlich im 21. Jahrhundert ankommen, sagt @rasha_nasr_ von der SPD, die als erste Frau mit #Migrationsgeschichte in Sachsen für den #Bundestag kandidiert. https://t.co/uOBlNBiO5R;1774;4;
1417625;"@mrcllsmxms Ad 1) Beispielhafte öffentliche Beurteilungen bleiben bei mir eine Ausnahme. Ich erinnere an Normen &amp; Ansprüche, Beurteilung leisten Sie bitte diskursiv selbst.
Ad 2) https://t.co/v7vFuHMaqf";2557;4;
1578523;"(#Alassa @AlassaMfouapo89 Fortsetzung) Wir sehen das auch als ungerechtfertigte Revanche an, bist Du doch ein anerkannter und bekannter Aktivist der Flüchtlingssolidarität. Wer einen von uns angreift, greift uns alle an!
Deine Herner Montagsdemo";1731;4;
1410178;@TwitchDE Oddworld: Abe's Oddysee ?;2632;4;
1154294;"Flüchtlinge die in ??Asylgeld abholen und nach Afghanistan fliegen zum urlauben, sollen dort bleiben und nicht mit unserer Spezial Einheit abgeholt werden. No way ?
#btw21 #Afghanistan #Kabul #afdwählen https://t.co/9YJrUKAWQV";1264;5;
245793;Heute hat die @spdde ein neues Video zur #Bundestagswahl veröffentlicht. Darin werben Politiker*innen und Prominente mit türkischer Einwanderungsgeschichte für die Partei und @OlafScholz - in türkischer Sprache. https://t.co/fZFJzw6dq4 https://t.co/o9kRyh4uGN;34;5;
335080;Starbucks-which has produced as many executives as significantly larger companies-is a favorite source for recruiters, and it's fine with that https://t.co/EIrHkH7BQV;2113;5;
629394;#MustSee in memoriam #EstherBejarano https://t.co/oJ85sQxUxz;3001;5;
1704375;"#Einwanderung in #Europa muss geregelt &amp; begrenzt werden! #abernormal
Droht ein neues ""2015""? Lampedusa: Mehr als 1.400 Migranten landeten am Sonntag, inzwischen soll die Zahl der in den letzten 24 h angekommenen #Migranten auf über 2.000 gestiegen sein.

https://t.co/GaJqXCx6hc";1886;5;
1470073;Heute ist unser Kanzlerkandidat @ArminLaschet zu Gast in Bayern. Ich freue mich, dass er auch zu einer Kundgebung nach Augsburg kommt. @CDU @CSU #wegenmorgen;3979;5;
